id,model,line,uph,plantcode,mcode,scheduling_no,material_type,master
1,GS55G,1ASSYA,260,CN06,NB12,1,,1
2,FPD0P,1ASSYA,120,CN06,NB12,1,,1
3,GS554,1ASSYA,200,CN06,NB12,1,,1
4,GS55B,1ASSYA,200,CN06,NB12,1,,1
5,GS552,1ASSYA,200,CN06,NB12,1,,1
6,GS551,1ASSYA,200,CN06,NB12,1,,1
7,GS550,1ASSYA,200,CN06,NB12,1,,1
8,GS349,1ASSYB,260,CN06,NB12,1,,0
9,GS348,1ASSYB,250,CN06,NB12,1,,0
10,FS541,1ASSYB,250,CN06,NB12,1,,0
11,GS346,1ASSYB,220,CN06,NB12,1,,0
12,EYG11,1ASSYB,270,CN06,NB12,1,,0
13,GS345,1ASSYB,250,CN06,NB12,1,,1
14,EYG10,1ASSYB,250,CN06,NB12,1,,1
15,GS343,1ASSYB,250,CN06,NB12,1,,1
16,GS540,1ASSYB,250,CN06,NB12,1,,0
17,GS342,1ASSYB,250,CN06,NB12,1,,1
18,GS341,1ASSYB,250,CN06,NB12,1,,0
19,GS340,1ASSYB,250,CN06,NB12,1,,0
20,GV450,1ASSYB,250,CN06,NB12,1,,0
21,GYGB0,1ASSYB,30,CN06,NB12,1,,1
22,GV451,1ASSYB,250,CN06,NB12,1,,0
23,GV453,1ASSYB,250,CN06,NB12,1,,0
24,FYG62,1ASSYB,250,CN06,NB12,1,,1
25,FS54A,1ASSYB,250,CN06,NB12,1,,0
26,GS54D,1ASSYB,250,CN06,NB12,1,,0
27,ES530,1ASSYB,250,CN06,NB12,1,,1
28,GS54B,1ASSYB,250,CN06,NB12,1,,0
29,EG532,1ASSYB,270,CN06,NB12,1,,0
30,GS554,1ASSYB,200,CN06,NB12,1,,1
31,FS433,1ASSYB,250,CN06,NB12,1,,1
32,FS434,1ASSYB,270,CN06,NB12,1,,0
33,DMX50,1ASSYB,270,CN06,NB12,1,,0
34,GS552,1ASSYB,200,CN06,NB12,1,,1
35,FS435,1ASSYB,250,CN06,NB12,1,,1
36,GS551,1ASSYB,260,CN06,NB12,1,,0
37,FS436,1ASSYB,270,CN06,NB12,1,,0
38,GS550,1ASSYB,260,CN06,NB12,1,,0
39,GS55B,1ASSYB,200,CN06,NB12,1,,1
40,HY578,1ASSYB,260,CN06,NB12,1,,1
41,GS55A,1ASSYB,250,CN06,NB12,1,,0
